CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hx289439,06/04/2014 11:38:00 AM,residence_porch_hallway,False,522,5.0,34.0,49.0,41.688888766,-87.628275226
hx289940,06/04/2014 04:58:00 PM,street,False,1532,15.0,28.0,25.0,41.88309122,-87.748522394
hx290881,06/05/2014 12:33:00 PM,sidewalk,False,324,3.0,5.0,43.0,41.761777879,-87.592100096
hx293212,06/06/2014 11:23:00 PM,street,False,2223,22.0,21.0,73.0,41.724722986,-87.638444672
hx293138,06/06/2014 11:25:00 PM,apartment,False,1114,11.0,28.0,26.0,41.882534927,-87.730628991
hx293348,06/07/2014 03:25:00 AM,sidewalk,False,1533,15.0,28.0,25.0,41.877682839,-87.745938912
hx293604,06/07/2014 10:45:00 AM,sidewalk,False,1114,11.0,28.0,26.0,41.883347431,-87.727018847
hx294012,06/07/2014 04:16:00 PM,street,False,1134,11.0,28.0,27.0,41.875225616,-87.710822131
hx297618,06/10/2014 11:35:00 AM,street,False,2525,25.0,35.0,22.0,41.923611619,-87.719409869
hx300941,06/12/2014 07:10:00 PM,vehicle_non_commercial,False,2511,25.0,36.0,17.0,41.936152872,-87.815792273
hx303329,06/14/2014 02:20:00 PM,sidewalk,False,132,1.0,2.0,33.0,41.859989233,-87.622375476
hx303294,06/14/2014 02:44:00 PM,sidewalk,True,522,5.0,34.0,53.0,41.679718496,-87.633877323
hx305187,06/15/2014 06:30:00 PM,street,False,233,2.0,4.0,40.0,41.799855875,-87.607732415
hx305149,06/15/2014 11:33:00 PM,sidewalk,False,224,2.0,3.0,38.0,41.80382731,-87.622288829
hx305276,06/16/2014 02:20:00 AM,sidewalk,False,1131,11.0,24.0,26.0,41.875167907,-87.733496133
hx307202,06/17/2014 12:15:00 PM,sidewalk,False,432,4.0,10.0,52.0,41.717287936,-87.534076396
hx308110,06/17/2014 10:27:00 PM,sidewalk,False,1021,10.0,24.0,29.0,41.861980224,-87.714074692
hx314114,06/22/2014 12:25:00 PM,sidewalk,False,831,8.0,15.0,66.0,41.768228659,-87.689830401
hx315119,06/23/2014 08:48:00 AM,street,False,1531,15.0,37.0,25.0,41.893130649,-87.749253539
hx317062,06/24/2014 03:15:00 PM,alley,True,1132,11.0,24.0,26.0,41.870921398,-87.726486422
hx318026,06/25/2014 10:05:00 AM,street,False,935,9.0,3.0,37.0,41.808356594,-87.63456318
hx319825,06/26/2014 04:30:00 PM,street,False,623,6.0,17.0,69.0,41.757221933,-87.631808598
hx320241,06/26/2014 09:32:00 PM,sidewalk,False,2233,22.0,34.0,49.0,41.698784953,-87.634135798
